CheckingStatus,Duration,CreditHistory,Purpose,CreditAmount,SavingsStatus,Employment,InstallmentCommitment,PersonalStatus,OtherParties,ResidenceSince,PropertyMagnitude,Age,OtherPaymentPlans,Housing,ExistingCredits,Job,NumDependents,OwnTelephone,ForeignWorker,Class
0<=X<200,45.0,OtherBankCredit,RadioOrTV,4746.0,<100,<1,4.0,SingleMale,none,2.0,LifeInsurance,25.0,None,Own,2.0,UnskilledResident,1.0,0,1,no
NoCheckingAccount,48.0,OtherBankCredit,Education,6110.0,<100,1<=X<4,1.0,SingleMale,none,3.0,NoKnownProperty,31.0,Bank,ForFree,1.0,Skilled,1.0,1,1,yes
>=200,18.0,ExistingCreditPaid,RadioOrTV,2100.0,<100,1<=X<4,4.0,SingleMale,co applicant,2.0,RealEstate,37.0,Stores,Own,1.0,Skilled,1.0,0,1,no
>=200,10.0,ExistingCreditPaid,DomesticAppliance,1225.0,<100,1<=X<4,2.0,SingleMale,none,2.0,Car,37.0,None,Own,1.0,Skilled,1.0,1,1,yes
0<=X<200,9.0,ExistingCreditPaid,RadioOrTV,458.0,<100,1<=X<4,4.0,SingleMale,none,3.0,RealEstate,24.0,None,Own,1.0,Skilled,1.0,0,1,yes
NoCheckingAccount,30.0,ExistingCreditPaid,RadioOrTV,2333.0,500<=X<1000,>=7,4.0,SingleMale,none,2.0,Car,30.0,Bank,Own,1.0,HighlyQualified,1.0,0,1,yes
0<=X<200,12.0,ExistingCreditPaid,RadioOrTV,1158.0,500<=X<1000,1<=X<4,3.0,DivorcedMale,none,1.0,Car,26.0,None,Own,1.0,Skilled,1.0,1,1,yes
0<=X<200,18.0,PreviouslyDelayedPayment,Repairs,6204.0,<100,1<=X<4,2.0,SingleMale,none,4.0,RealEstate,44.0,None,Own,1.0,UnskilledResident,2.0,1,1,yes
<0,30.0,OtherBankCredit,UsedCar,6187.0,100<=X<500,4<=X<7,1.0,MarriedMale,none,4.0,Car,24.0,None,Rent,2.0,Skilled,1.0,0,1,yes
<0,48.0,OtherBankCredit,UsedCar,6143.0,<100,>=7,4.0,DivorcedFemale,none,4.0,NoKnownProperty,58.0,Stores,ForFree,2.0,UnskilledResident,1.0,0,1,no
NoCheckingAccount,11.0,OtherBankCredit,NewCar,1393.0,<100,<1,4.0,DivorcedFemale,none,4.0,Car,35.0,None,Own,2.0,HighlyQualified,1.0,0,1,yes
NoCheckingAccount,36.0,ExistingCreditPaid,RadioOrTV,2299.0,500<=X<1000,>=7,4.0,SingleMale,none,4.0,Car,39.0,None,Own,1.0,Skilled,1.0,0,1,yes
<0,6.0,ExistingCreditPaid,UsedCar,1352.0,500<=X<1000,Unemployed,1.0,DivorcedFemale,none,2.0,LifeInsurance,23.0,None,Rent,1.0,UnskilledNonResident,1.0,1,1,yes
NoCheckingAccount,11.0,OtherBankCredit,NewCar,7228.0,<100,1<=X<4,1.0,SingleMale,none,4.0,LifeInsurance,39.0,None,Own,2.0,UnskilledResident,1.0,0,1,yes
NoCheckingAccount,12.0,ExistingCreditPaid,RadioOrTV,2073.0,100<=X<500,1<=X<4,4.0,DivorcedFemale,co applicant,2.0,RealEstate,28.0,None,Own,1.0,Skilled,1.0,0,1,yes
0<=X<200,24.0,PreviouslyDelayedPayment,FurnitureOrEquipment,2333.0,NoSavings,<1,4.0,SingleMale,none,2.0,LifeInsurance,29.0,Bank,Own,1.0,UnskilledResident,1.0,0,1,yes
0<=X<200,27.0,PreviouslyDelayedPayment,UsedCar,5965.0,<100,>=7,1.0,SingleMale,none,2.0,Car,30.0,None,Own,2.0,HighlyQualified,1.0,1,1,yes
NoCheckingAccount,12.0,ExistingCreditPaid,RadioOrTV,1262.0,<100,1<=X<4,3.0,SingleMale,none,2.0,Car,25.0,None,Own,1.0,Skilled,1.0,0,1,yes
NoCheckingAccount,18.0,ExistingCreditPaid,UsedCar,3378.0,NoSavings,1<=X<4,2.0,SingleMale,none,1.0,LifeInsurance,31.0,None,Own,1.0,Skilled,1.0,1,1,yes
0<=X<200,36.0,PreviouslyDelayedPayment,NewCar,2225.0,<100,>=7,4.0,SingleMale,none,4.0,NoKnownProperty,57.0,Bank,ForFree,2.0,Skilled,1.0,1,1,no
NoCheckingAccount,6.0,AllCreditsPaid,NewCar,783.0,NoSavings,1<=X<4,1.0,SingleMale,guarantor,2.0,RealEstate,26.0,Stores,Own,1.0,UnskilledResident,2.0,0,1,yes
0<=X<200,12.0,ExistingCreditPaid,RadioOrTV,6468.0,NoSavings,Unemployed,2.0,SingleMale,none,1.0,NoKnownProperty,52.0,None,Own,1.0,HighlyQualified,1.0,1,1,no
NoCheckingAccount,36.0,OtherBankCredit,RadioOrTV,9566.0,<100,1<=X<4,2.0,DivorcedFemale,none,2.0,Car,31.0,Stores,Own,2.0,Skilled,1.0,0,1,yes
>=200,18.0,ExistingCreditPaid,NewCar,1961.0,<100,>=7,3.0,DivorcedFemale,none,2.0,Car,23.0,None,Own,1.0,HighlyQualified,1.0,0,1,yes
<0,36.0,OtherBankCredit,FurnitureOrEquipment,6229.0,<100,<1,4.0,DivorcedFemale,co applicant,4.0,NoKnownProperty,23.0,None,Rent,2.0,UnskilledResident,1.0,1,1,no
0<=X<200,9.0,ExistingCreditPaid,Business,1391.0,<100,1<=X<4,2.0,MarriedMale,none,1.0,RealEstate,27.0,Bank,Own,1.0,Skilled,1.0,1,1,yes
0<=X<200,15.0,OtherBankCredit,RadioOrTV,1537.0,NoSavings,>=7,4.0,SingleMale,guarantor,4.0,RealEstate,50.0,None,Own,2.0,Skilled,1.0,1,1,yes
0<=X<200,36.0,NoCredits,Business,1953.0,<100,>=7,4.0,SingleMale,none,4.0,NoKnownProperty,61.0,None,ForFree,1.0,HighlyQualified,1.0,1,1,no
0<=X<200,48.0,NoCredits,Business,14421.0,<100,1<=X<4,2.0,SingleMale,none,2.0,Car,25.0,None,Own,1.0,Skilled,1.0,1,1,no
NoCheckingAccount,24.0,ExistingCreditPaid,RadioOrTV,3181.0,<100,<1,4.0,DivorcedFemale,none,4.0,LifeInsurance,26.0,None,Own,1.0,Skilled,1.0,1,1,yes
NoCheckingAccount,27.0,ExistingCreditPaid,Repairs,5190.0,NoSavings,>=7,4.0,SingleMale,none,4.0,LifeInsurance,48.0,None,Own,4.0,Skilled,2.0,1,1,yes
NoCheckingAccount,12.0,ExistingCreditPaid,RadioOrTV,2171.0,<100,<1,2.0,DivorcedFemale,none,2.0,Car,29.0,Bank,Own,1.0,Skilled,1.0,0,1,yes
0<=X<200,12.0,ExistingCreditPaid,NewCar,1007.0,>=1000,1<=X<4,4.0,MarriedMale,none,1.0,RealEstate,22.0,None,Own,1.0,Skilled,1.0,0,1,yes
NoCheckingAccount,36.0,ExistingCreditPaid,Education,1819.0,<100,1<=X<4,4.0,SingleMale,none,4.0,NoKnownProperty,37.0,Stores,ForFree,1.0,Skilled,1.0,1,1,no
NoCheckingAccount,36.0,ExistingCreditPaid,RadioOrTV,2394.0,NoSavings,1<=X<4,4.0,DivorcedFemale,none,4.0,Car,25.0,None,Own,1.0,Skilled,1.0,0,1,yes
NoCheckingAccount,36.0,ExistingCreditPaid,UsedCar,8133.0,<100,1<=X<4,1.0,DivorcedFemale,none,2.0,LifeInsurance,30.0,Bank,Own,1.0,Skilled,1.0,0,1,yes
NoCheckingAccount,7.0,OtherBankCredit,RadioOrTV,730.0,NoSavings,>=7,4.0,SingleMale,none,2.0,LifeInsurance,46.0,None,Rent,2.0,UnskilledResident,1.0,1,1,yes
<0,8.0,OtherBankCredit,Other,1164.0,<100,>=7,3.0,SingleMale,none,4.0,NoKnownProperty,51.0,Bank,ForFree,2.0,HighlyQualified,2.0,1,1,yes
0<=X<200,42.0,OtherBankCredit,Business,5954.0,<100,4<=X<7,2.0,DivorcedFemale,none,1.0,RealEstate,41.0,Bank,Own,2.0,UnskilledResident,1.0,0,1,yes
<0,36.0,ExistingCreditPaid,Education,1977.0,NoSavings,>=7,4.0,SingleMale,none,4.0,NoKnownProperty,40.0,None,Own,1.0,HighlyQualified,1.0,1,1,no
<0,12.0,OtherBankCredit,UsedCar,1526.0,<100,>=7,4.0,SingleMale,none,4.0,NoKnownProperty,66.0,None,ForFree,2.0,HighlyQualified,1.0,0,1,yes
<0,42.0,ExistingCreditPaid,RadioOrTV,3965.0,<100,<1,4.0,SingleMale,none,3.0,Car,34.0,None,Own,1.0,Skilled,1.0,0,1,no
0<=X<200,11.0,PreviouslyDelayedPayment,RadioOrTV,4771.0,<100,4<=X<7,2.0,SingleMale,none,4.0,LifeInsurance,51.0,None,Own,1.0,Skilled,1.0,0,1,yes
NoCheckingAccount,54.0,NoCredits,UsedCar,9436.0,NoSavings,1<=X<4,2.0,SingleMale,none,2.0,LifeInsurance,39.0,None,Own,1.0,UnskilledResident,2.0,0,1,yes
0<=X<200,30.0,ExistingCreditPaid,FurnitureOrEquipment,3832.0,<100,<1,2.0,MarriedMale,none,1.0,LifeInsurance,22.0,None,Own,1.0,Skilled,1.0,0,1,yes
NoCheckingAccount,24.0,ExistingCreditPaid,RadioOrTV,5943.0,NoSavings,<1,1.0,DivorcedFemale,none,1.0,Car,44.0,None,Own,2.0,Skilled,1.0,1,1,no
NoCheckingAccount,15.0,ExistingCreditPaid,RadioOrTV,1213.0,500<=X<1000,>=7,4.0,SingleMale,none,3.0,LifeInsurance,47.0,Stores,Own,1.0,Skilled,1.0,1,1,yes
NoCheckingAccount,18.0,ExistingCreditPaid,Business,1568.0,100<=X<500,1<=X<4,3.0,DivorcedFemale,none,4.0,LifeInsurance,24.0,None,Rent,1.0,UnskilledResident,1.0,0,1,yes
<0,24.0,ExistingCreditPaid,Other,1755.0,<100,>=7,4.0,DivorcedFemale,guarantor,4.0,RealEstate,58.0,None,Own,1.0,UnskilledResident,1.0,1,1,yes
<0,10.0,ExistingCreditPaid,RadioOrTV,2315.0,<100,>=7,3.0,SingleMale,none,4.0,RealEstate,52.0,None,Own,1.0,UnskilledResident,1.0,0,1,yes
NoCheckingAccount,12.0,OtherBankCredit,Business,1412.0,<100,1<=X<4,4.0,DivorcedFemale,guarantor,2.0,RealEstate,29.0,None,Own,2.0,HighlyQualified,1.0,1,1,yes
0<=X<200,18.0,OtherBankCredit,FurnitureOrEquipment,1295.0,<100,<1,4.0,DivorcedFemale,none,1.0,LifeInsurance,27.0,None,Own,2.0,Skilled,1.0,0,1,yes
0<=X<200,36.0,ExistingCreditPaid,Education,12612.0,100<=X<500,1<=X<4,1.0,SingleMale,none,4.0,NoKnownProperty,47.0,None,ForFree,1.0,Skilled,2.0,1,1,no
<0,18.0,ExistingCreditPaid,NewCar,2249.0,100<=X<500,4<=X<7,4.0,SingleMale,none,3.0,Car,30.0,None,Own,1.0,HighlyQualified,2.0,1,1,yes
<0,12.0,NoCredits,Repairs,1108.0,<100,4<=X<7,4.0,SingleMale,none,3.0,RealEstate,28.0,None,Own,2.0,Skilled,1.0,0,1,no
NoCheckingAccount,12.0,OtherBankCredit,RadioOrTV,618.0,<100,>=7,4.0,SingleMale,none,4.0,RealEstate,56.0,None,Own,1.0,Skilled,1.0,0,1,yes
<0,12.0,OtherBankCredit,UsedCar,1409.0,<100,>=7,4.0,SingleMale,none,3.0,RealEstate,54.0,None,Own,1.0,Skilled,1.0,0,1,yes
NoCheckingAccount,12.0,OtherBankCredit,RadioOrTV,797.0,NoSavings,>=7,4.0,DivorcedFemale,none,3.0,LifeInsurance,33.0,Bank,Own,1.0,UnskilledResident,2.0,0,1,no
>=200,24.0,OtherBankCredit,FurnitureOrEquipment,3617.0,NoSavings,>=7,4.0,SingleMale,co applicant,4.0,NoKnownProperty,20.0,None,Rent,2.0,Skilled,1.0,0,1,yes
0<=X<200,12.0,ExistingCreditPaid,NewCar,1318.0,>=1000,>=7,4.0,SingleMale,none,4.0,RealEstate,54.0,None,Own,1.0,Skilled,1.0,1,1,yes
0<=X<200,54.0,NoCredits,Business,15945.0,<100,<1,3.0,SingleMale,none,4.0,NoKnownProperty,58.0,None,Rent,1.0,Skilled,1.0,1,1,no
NoCheckingAccount,12.0,OtherBankCredit,Education,2012.0,NoSavings,4<=X<7,4.0,DivorcedFemale,none,2.0,Car,61.0,None,Own,1.0,Skilled,1.0,0,1,yes
0<=X<200,18.0,ExistingCreditPaid,Business,2622.0,100<=X<500,1<=X<4,4.0,SingleMale,none,4.0,Car,34.0,None,Own,1.0,Skilled,1.0,0,1,yes
0<=X<200,36.0,OtherBankCredit,RadioOrTV,2337.0,<100,>=7,4.0,SingleMale,none,4.0,RealEstate,36.0,None,Own,1.0,Skilled,1.0,0,1,yes
0<=X<200,20.0,PreviouslyDelayedPayment,UsedCar,7057.0,NoSavings,4<=X<7,3.0,SingleMale,none,4.0,LifeInsurance,36.0,Bank,Rent,2.0,HighlyQualified,2.0,1,1,yes
NoCheckingAccount,24.0,ExistingCreditPaid,NewCar,1469.0,100<=X<500,>=7,4.0,MarriedMale,none,4.0,RealEstate,41.0,None,Rent,1.0,UnskilledResident,1.0,0,1,yes
0<=X<200,36.0,ExistingCreditPaid,RadioOrTV,2323.0,<100,4<=X<7,4.0,SingleMale,none,4.0,Car,24.0,None,Rent,1.0,Skilled,1.0,0,1,yes
NoCheckingAccount,6.0,PreviouslyDelayedPayment,RadioOrTV,932.0,<100,1<=X<4,3.0,DivorcedFemale,none,2.0,RealEstate,24.0,None,Own,1.0,Skilled,1.0,0,1,yes
0<=X<200,9.0,OtherBankCredit,FurnitureOrEquipment,1919.0,<100,4<=X<7,4.0,SingleMale,none,3.0,Car,35.0,None,Rent,1.0,Skilled,1.0,1,1,yes
NoCheckingAccount,12.0,ExistingCreditPaid,UsedCar,2445.0,NoSavings,<1,2.0,MarriedMale,none,4.0,Car,26.0,None,Rent,1.0,Skilled,1.0,1,1,yes
0<=X<200,24.0,OtherBankCredit,Other,11938.0,<100,1<=X<4,2.0,SingleMale,co applicant,3.0,Car,39.0,None,Own,2.0,HighlyQualified,2.0,1,1,no
NoCheckingAccount,18.0,AllCreditsPaid,NewCar,6458.0,<100,>=7,2.0,SingleMale,none,4.0,NoKnownProperty,39.0,Bank,Own,2.0,HighlyQualified,2.0,1,1,no
0<=X<200,12.0,ExistingCreditPaid,NewCar,6078.0,<100,4<=X<7,2.0,SingleMale,none,2.0,Car,32.0,None,Own,1.0,Skilled,1.0,0,1,yes
<0,24.0,ExistingCreditPaid,FurnitureOrEquipment,7721.0,NoSavings,<1,1.0,DivorcedFemale,none,2.0,LifeInsurance,30.0,None,Own,1.0,Skilled,1.0,1,0,yes
0<=X<200,14.0,ExistingCreditPaid,Business,1410.0,500<=X<1000,>=7,1.0,MarriedMale,none,2.0,RealEstate,35.0,None,Own,1.0,Skilled,1.0,1,1,yes
0<=X<200,6.0,PreviouslyDelayedPayment,Business,1449.0,100<=X<500,>=7,1.0,DivorcedMale,none,2.0,Car,31.0,Bank,Own,2.0,Skilled,2.0,0,1,yes
>=200,15.0,ExistingCreditPaid,Education,392.0,<100,<1,4.0,DivorcedFemale,none,4.0,LifeInsurance,23.0,None,Rent,1.0,Skilled,1.0,1,1,yes
0<=X<200,18.0,ExistingCreditPaid,NewCar,6260.0,<100,4<=X<7,3.0,SingleMale,none,3.0,RealEstate,28.0,None,Rent,1.0,UnskilledResident,1.0,0,1,yes
NoCheckingAccount,36.0,OtherBankCredit,NewCar,7855.0,<100,1<=X<4,4.0,DivorcedFemale,none,2.0,RealEstate,25.0,Stores,Own,2.0,Skilled,1.0,1,1,no
<0,12.0,ExistingCreditPaid,RadioOrTV,1680.0,500<=X<1000,>=7,3.0,MarriedMale,none,1.0,RealEstate,35.0,None,Own,1.0,Skilled,1.0,0,1,yes
NoCheckingAccount,48.0,OtherBankCredit,RadioOrTV,3578.0,NoSavings,>=7,4.0,SingleMale,none,1.0,RealEstate,47.0,None,Own,1.0,Skilled,1.0,1,1,yes
<0,42.0,ExistingCreditPaid,RadioOrTV,7174.0,NoSavings,4<=X<7,4.0,DivorcedFemale,none,3.0,Car,30.0,None,Own,1.0,HighlyQualified,1.0,1,1,no
<0,10.0,OtherBankCredit,FurnitureOrEquipment,2132.0,NoSavings,<1,2.0,DivorcedFemale,co applicant,3.0,RealEstate,27.0,None,Rent,2.0,Skilled,1.0,0,0,yes
<0,33.0,OtherBankCredit,FurnitureOrEquipment,4281.0,500<=X<1000,1<=X<4,1.0,DivorcedFemale,none,4.0,Car,23.0,None,Own,2.0,Skilled,1.0,0,1,no
0<=X<200,12.0,OtherBankCredit,NewCar,2366.0,500<=X<1000,4<=X<7,3.0,DivorcedMale,none,3.0,Car,36.0,None,Own,1.0,HighlyQualified,1.0,1,1,yes
<0,21.0,ExistingCreditPaid,RadioOrTV,1835.0,<100,1<=X<4,3.0,DivorcedFemale,none,2.0,RealEstate,25.0,None,Own,2.0,Skilled,1.0,1,1,no
NoCheckingAccount,24.0,OtherBankCredit,UsedCar,3868.0,<100,>=7,4.0,DivorcedFemale,none,2.0,Car,41.0,None,Rent,2.0,HighlyQualified,1.0,1,1,yes
NoCheckingAccount,12.0,ExistingCreditPaid,FurnitureOrEquipment,1768.0,<100,1<=X<4,3.0,SingleMale,none,2.0,RealEstate,24.0,None,Rent,1.0,UnskilledResident,1.0,0,1,yes
>=200,10.0,OtherBankCredit,NewCar,781.0,<100,>=7,4.0,SingleMale,none,4.0,NoKnownProperty,63.0,None,ForFree,2.0,Skilled,1.0,1,1,yes
0<=X<200,18.0,ExistingCreditPaid,FurnitureOrEquipment,1924.0,NoSavings,<1,4.0,DivorcedFemale,none,3.0,RealEstate,27.0,None,Rent,1.0,Skilled,1.0,0,1,no
<0,12.0,OtherBankCredit,NewCar,2121.0,<100,1<=X<4,4.0,SingleMale,none,2.0,LifeInsurance,30.0,None,Own,2.0,Skilled,1.0,0,1,yes
<0,12.0,ExistingCreditPaid,RadioOrTV,701.0,<100,1<=X<4,4.0,MarriedMale,none,2.0,RealEstate,40.0,None,Own,1.0,UnskilledResident,1.0,0,1,yes
0<=X<200,12.0,ExistingCreditPaid,Repairs,639.0,<100,1<=X<4,4.0,SingleMale,none,2.0,Car,30.0,None,Own,1.0,Skilled,1.0,0,1,no
0<=X<200,12.0,OtherBankCredit,UsedCar,1860.0,<100,Unemployed,4.0,SingleMale,none,2.0,Car,34.0,None,Own,2.0,HighlyQualified,1.0,1,1,yes
<0,12.0,OtherBankCredit,NewCar,3499.0,<100,1<=X<4,3.0,DivorcedFemale,co applicant,2.0,RealEstate,29.0,None,Own,2.0,Skilled,1.0,0,1,no
0<=X<200,48.0,ExistingCreditPaid,NewCar,8487.0,NoSavings,4<=X<7,1.0,DivorcedFemale,none,2.0,Car,24.0,None,Own,1.0,Skilled,1.0,0,1,yes
<0,36.0,PreviouslyDelayedPayment,Education,6887.0,<100,1<=X<4,4.0,SingleMale,none,3.0,LifeInsurance,29.0,Stores,Own,1.0,Skilled,1.0,1,1,no
NoCheckingAccount,15.0,ExistingCreditPaid,FurnitureOrEquipment,2708.0,<100,<1,2.0,SingleMale,none,3.0,LifeInsurance,27.0,Bank,Own,2.0,UnskilledResident,1.0,0,1,yes
NoCheckingAccount,18.0,ExistingCreditPaid,FurnitureOrEquipment,1984.0,<100,1<=X<4,4.0,SingleMale,none,4.0,NoKnownProperty,47.0,Bank,ForFree,2.0,Skilled,1.0,0,1,yes
NoCheckingAccount,60.0,ExistingCreditPaid,RadioOrTV,10144.0,100<=X<500,4<=X<7,2.0,DivorcedFemale,none,4.0,RealEstate,21.0,None,Own,1.0,Skilled,1.0,1,1,yes
NoCheckingAccount,12.0,OtherBankCredit,RadioOrTV,1240.0,NoSavings,>=7,4.0,DivorcedFemale,none,2.0,RealEstate,38.0,None,Own,2.0,Skilled,1.0,1,1,yes
NoCheckingAccount,27.0,PreviouslyDelayedPayment,UsedCar,8613.0,>=1000,1<=X<4,2.0,SingleMale,none,2.0,Car,27.0,None,Own,2.0,Skilled,1.0,0,1,yes
0<=X<200,12.0,ExistingCreditPaid,RadioOrTV,766.0,500<=X<1000,1<=X<4,4.0,SingleMale,none,3.0,RealEstate,66.0,None,Own,1.0,UnskilledResident,1.0,0,1,no
0<=X<200,15.0,OtherBankCredit,RadioOrTV,2728.0,NoSavings,4<=X<7,4.0,SingleMale,guarantor,2.0,RealEstate,35.0,Bank,Own,3.0,Skilled,1.0,1,1,yes
>=200,12.0,ExistingCreditPaid,RadioOrTV,1881.0,<100,1<=X<4,2.0,DivorcedFemale,none,2.0,Car,44.0,None,Rent,1.0,UnskilledResident,1.0,1,1,yes
>=200,6.0,ExistingCreditPaid,NewCar,709.0,>=1000,<1,2.0,MarriedMale,none,2.0,RealEstate,27.0,None,Own,1.0,UnskilledNonResident,1.0,0,0,yes
